# water.dat
# by ocram88

processed
-3000.0 -1300.0 0.0 0.0 0.0 0.25 0.0	-2832.0 -1300.0 0.0 0.0 0.0 0.25 0.0	-3000.0 2942.0 0.0 0.0 0.0 0.25 0.0	-2832.0 2942.0 0.0 0.0 0.0 0.25 0.0  1
-1802.0 -1840.0 0.0 0.0 0.0 0.25 0.0	-1650.0 -1840.0 0.0 0.0 0.0 0.25 0.0	-1802.0 -1200.0 0.0 0.0 0.0 0.25 0.0	-1650.0 -1200.0 0.0 0.0 0.0 0.25 0.0  1
-2800.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-2000.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-2800.0 -2850.0 0.0 0.0 0.0 0.25 0.0	-2000.0 -2850.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-2800.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -2704.0 0.0 0.0 0.0 0.25 0.0	-2800.0 -2704.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2704.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2704.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -2576.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2576.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2576.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2576.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -2448.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2448.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2448.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2448.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -2144.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2144.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2144.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2144.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -2032.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2032.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -2032.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -2032.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -1904.0 0.0 0.0 0.0 0.25 0.0	-2802.0 -1904.0 0.0 0.0 0.0 0.25 0.0  1
-3000.0 -1904.0 0.0 0.0 0.0 0.25 0.0	-2720.0 -1904.0 0.0 0.0 0.0 0.25 0.0	-3000.0 -1300.0 0.0 0.0 0.0 0.25 0.0	-2720.0 -1300.0 0.0 0.0 0.0 0.25 0.0  1
2686.0 1200.0 0.0 0.0 0.0 0.25 0.0	2870.0 1200.0 0.0 0.0 0.0 0.25 0.0	2686.0 1376.0 0.0 0.0 0.0 0.25 0.0	2870.0 1376.0 0.0 0.0 0.0 0.25 0.0  1
-2000.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-1640.0 -3000.0 0.0 0.0 0.0 0.25 0.0	-2000.0 -1840.0 0.0 0.0 0.0 0.25 0.0	-1640.0 -1840.0 0.0 0.0 0.0 0.25 0.0  1
